"Parent2Name","Parent1Name","Now_Parent1Reference","CustomerName","Now_Reference","ComputerName","DeviceName","DeviceId","Now_Product.OsType","Now_Physicality","PhysicalServer","VirtualServer","Workstation","Documents","RecoveryTesting","O365Users","CustomerState","CreationDate","ProductionDate","DeviceDeletionDate","SelectedSizeGb","UsedStorageGb"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-HYP02","san-hka-hyp02","2979775",,"Physical","1",,,,,,"InProduction","3/10/2020 12:00:00 AM","3/19/2017 12:00:00 AM","","1461.26","3882.19"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-ERP02","san-hka-erp02_uoev0","4001338",,"Virtual",,"1",,,,,"InProduction","8/8/2022 12:00:00 AM","3/19/2017 12:00:00 AM","","580.14","511.31"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-ERP01","san-hka-erp01_st2uf","4001371",,"Virtual",,"1",,,,,"InProduction","8/8/2022 12:00:00 AM","3/19/2017 12:00:00 AM","","184.9","758.44"
,"Cubics","CUB","Van Hout","GVH","GVH-HKA-HYP002","gvh-hka-hyp002","3748377",,"Physical","1",,,,,,"InProduction","12/9/2021 12:00:00 AM","4/6/2017 12:00:00 AM","","5122.81","6802.73"
,"Cubics","CUB","Van Hout","GVH","JAV17452","jav17452","898945",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","146.69","214.43"
,"Cubics","CUB","Van Hout","GVH","JAV16482","jav16482","898912",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","219.27","246.24"
,"Cubics","CUB","Van Hout","GVH","JAV17475","jav17475","899101",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","5.8","5.05"
,"Cubics","CUB","Van Hout","GVH","JAV15033","jav15033","899149",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","37.31","78.9"
,"Cubics","CUB","Van Hout","GVH","JAV17253","jav17253","922642",,"Physical",,,"1",,,,"InProduction","7/11/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","18.14","66.48"
,"Cubics","CUB","Van Hout","GVH","JAV15601TEST","jav15601_gbs","2660521",,"Virtual",,,"1",,,,"InProduction","11/22/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","134.42","159.64"
,"Cubics","CUB","Quantera Global","QUA","QG-DC01","qg-dc01","756283",,"Virtual",,"1",,,,,"InProduction","2/13/2019 12:00:00 AM","4/5/2017 12:00:00 AM","","514.81","323.41"
,"Cubics","CUB","Quantera Global",,"* M365 - quanteraglobal.onmicrosoft.com","quanteraglobal.onmicrosoft.com","3523751",,"Cloud",,,,,,"89","InProduction","4/2/2021 12:00:00 AM","4/5/2017 12:00:00 AM","12/13/2022 12:00:00 AM","1419.21","1137.01"
,"Cubics","CUB","Praktijk Nuenen","PRN","JAV20952","jav20952","3618976",,"Physical",,,"1",,,,"InProduction","7/19/2021 12:00:00 AM","5/22/2017 12:00:00 AM","","66.22","121.43"
,"Cubics","CUB","Xeltis","XEL","XEL-EHV-HYP01","xel-ehv-hyp001","488084",,"Physical","1",,,,,,"InProduction","5/15/2017 12:00:00 AM","6/1/2017 12:00:00 AM","","816.69","2251.83"
,"Cubics","CUB","Xeltis","XEL","XEL-EHV-SQL","xel-ehv-sql_mnxmz","3969173",,"Virtual",,"1",,,,,"InProduction","7/6/2022 12:00:00 AM","6/1/2017 12:00:00 AM","","151.2","1119.9"
,"Cubics","CUB","Xeltis","XEL","XEL-EHV-IIS","xel-ehv-iis_phy5h","3969107",,"Virtual",,"1",,,,,"InProduction","7/6/2022 12:00:00 AM","6/1/2017 12:00:00 AM","","82.03","35.48"
,"Cubics","CUB","Xeltis","XEL","XEL-EHV-FS","xel-ehv-fs","483200",,"Virtual",,"1",,,,,"InProduction","5/1/2017 12:00:00 AM","6/1/2017 12:00:00 AM","","22821.01","11403.77"
,"Cubics","CUB","Loodgietersbedrijf Luuk van den Hout","LLH","* M365 - luukvandenhout.onmicrosoft.com","luukvandenhout.onmicrosoft.com","3659474",,"Cloud",,,,,,"1","InProduction","9/6/2021 12:00:00 AM","5/17/2017 12:00:00 AM","","12.5","13.76"
,"Cubics","CUB","GSE Technology","GSE","GSE-HKA-HYP","gse-hka-hyp","565737",,"Physical","1",,,,,,"InProduction","12/14/2017 12:00:00 AM","11/10/2017 12:00:00 AM","","4188.44","5013.96"
